,CELL_ID
413,0403.1000
414,0403.1005
415,0403.1013
416,0403.1016
417,0403.1017
418,0403.1034
419,0403.1035
420,0403.1036
421,0403.1037
422,0403.1045
423,0403.1046
424,0403.1062
425,0403.1064
426,0403.1065
427,0403.1079
428,0403.108
429,0403.1086
430,0403.1087
431,0403.109
432,0403.1097
433,0403.11
434,0403.1101
435,0403.1109
436,0403.1110
437,0403.1139
438,0403.1140
439,0403.1149
440,0403.115
441,0403.1182
442,0403.1183
443,0403.1186
444,0403.1213
445,0403.1215
446,0403.1232
447,0403.1233
448,0403.1241
449,0403.125
450,0403.1257
451,0403.1259
452,0403.1260
453,0403.1261
454,0403.1262
455,0403.1271
456,0403.1309
457,0403.1325
458,0403.1332
459,0403.1333
460,0403.1342
461,0403.1346
462,0403.135
463,0403.136
464,0403.1361
465,0403.1363
466,0403.137
467,0403.1377
468,0403.138
469,0403.1380
470,0403.1396
471,0403.1399
472,0403.1409
473,0403.1410
474,0403.1430
475,0403.1431
476,0403.1438
477,0403.1450
478,0403.1471
479,0403.1481
480,0403.1496
481,0403.15
482,0403.1504
483,0403.1514
484,0403.1516
485,0403.1521
486,0403.1543
487,0403.1544
488,0403.156
489,0403.1572
490,0403.1589
491,0403.1590
492,0403.1595
493,0403.1601
494,0403.1612
495,0403.1615
496,0403.1621
497,0403.1629
498,0403.1637
499,0403.1653
500,0403.1670
501,0403.1671
502,0403.1674
503,0403.1688
504,0403.1689
505,0403.1690
506,0403.1692
507,0403.1694
508,0403.1700
509,0403.1721
510,0403.1724
511,0403.1741
512,0403.1742
513,0403.1751
514,0403.1760
515,0403.1761
516,0403.1763
517,0403.1767
518,0403.1783
519,0403.1793
520,0403.1800
521,0403.1813
522,0403.1817
523,0403.1833
524,0403.1837
525,0403.1849
526,0403.1850
527,0403.1851
528,0403.1854
529,0403.1856
530,0403.1873
531,0403.1881
532,0403.1885
533,0403.1894
534,0403.1909
535,0403.1930
536,0403.1947
537,0403.196
538,0403.1963
539,0403.1973
540,0403.1989
541,0403.199
542,0403.1995
543,0403.1996
544,0403.2004
545,0403.2007
546,0403.2008
547,0403.2009
548,0403.2025
549,0403.204
550,0403.206
551,0403.2061
552,0403.2071
553,0403.2080
554,0403.209
555,0403.2092
556,0403.2110
557,0403.2111
558,0403.2112
559,0403.2155
560,0403.2156
561,0403.2160
562,0403.2168
563,0403.2174
564,0403.2178
565,0403.2183
566,0403.2194
567,0403.2199
568,0403.2201
569,0403.2207
570,0403.2211
571,0403.2212
572,0403.2213
573,0403.2219
574,0403.2228
575,0403.2244
576,0403.2247
577,0403.2253
578,0403.2255
579,0403.226
580,0403.228
581,0403.2295
582,0403.2298
583,0403.2305
584,0403.2306
585,0403.2308
586,0403.2324
587,0403.2335
588,0403.2336
589,0403.2347
590,0403.2356
591,0403.2362
592,0403.2363
593,0403.238
594,0403.239
595,0403.2399
596,0403.2400
597,0403.2431
598,0403.2433
599,0403.2437
600,0403.2451
601,0403.2453
602,0403.2461
603,0403.2469
604,0403.2493
605,0403.2494
606,0403.2497
607,0403.2499
608,0403.2520
609,0403.253
610,0403.2534
611,0403.254
612,0403.255
613,0403.2554
614,0403.2555
615,0403.2557
616,0403.2559
617,0403.256
618,0403.2574
619,0403.2576
620,0403.2595
621,0403.2597
622,0403.2604
623,0403.2609
624,0403.261
625,0403.2611
626,0403.2615
627,0403.2616
628,0403.262
629,0403.2621
630,0403.263
631,0403.264
632,0403.2671
633,0403.2673
634,0403.2686
635,0403.2703
636,0403.2704
637,0403.2714
638,0403.2738
639,0403.2740
640,0403.2753
641,0403.2757
642,0403.2764
643,0403.2767
644,0403.2768
645,0403.2791
646,0403.2792
647,0403.2793
648,0403.2795
649,0403.2804
650,0403.2806
651,0403.2810
652,0403.2816
653,0403.2818
654,0403.2827
655,0403.2829
656,0403.2830
657,0403.2833
658,0403.2834
659,0403.2837
660,0403.2840
661,0403.2841
662,0403.2846
663,0403.2847
664,0403.2855
665,0403.286
666,0403.2876
667,0403.2880
668,0403.2899
669,0403.2903
670,0403.2904
671,0403.2908
672,0403.2910
673,0403.2911
674,0403.2931
675,0403.2954
676,0403.2973
677,0403.299
678,0403.2994
679,0403.3001
680,0403.3011
681,0403.3013
682,0403.3015
683,0403.3017
684,0403.3018
685,0403.3020
686,0403.3027
687,0403.3061
688,0403.3081
689,0403.3089
690,0403.3099
691,0403.3100
692,0403.3104
693,0403.3137
694,0403.3140
695,0403.3144
696,0403.3179
697,0403.318
698,0403.3182
699,0403.3183
700,0403.3184
701,0403.3185
702,0403.320
703,0403.3218
704,0403.3237
705,0403.3241
706,0403.3244
707,0403.3266
708,0403.3276
709,0403.3277
710,0403.3290
711,0403.3334
712,0403.3347
713,0403.3360
714,0403.3366
715,0403.3387
716,0403.3403
717,0403.3409
718,0403.342
719,0403.343
720,0403.3441
721,0403.3442
722,0403.3444
723,0403.3445
724,0403.3460
725,0403.348
726,0403.3498
727,0403.3517
728,0403.3528
729,0403.3546
730,0403.3553
731,0403.3554
732,0403.3558
733,0403.3574
734,0403.3583
735,0403.3632
736,0403.3651
737,0403.3660
738,0403.3665
739,0403.3673
740,0403.3676
741,0403.3687
742,0403.371
743,0403.3731
744,0403.3790
745,0403.3801
746,0403.381
747,0403.382
748,0403.3832
749,0403.3833
750,0403.3854
751,0403.3864
752,0403.3917
753,0403.3981
754,0403.4004
755,0403.4010
756,0403.4012
757,0403.4013
758,0403.4026
759,0403.4027
760,0403.4030
761,0403.4056
762,0403.4061
763,0403.408
764,0403.409
765,0403.4147
766,0403.4211
767,0403.4223
768,0403.4232
769,0403.4243
770,0403.4257
771,0403.4263
772,0403.43
773,0403.4300
774,0403.4305
775,0403.4309
776,0403.4319
777,0403.434
778,0403.4352
779,0403.4378
780,0403.4403
781,0403.4414
782,0403.4452
783,0403.4467
784,0403.4488
785,0403.4497
786,0403.454
787,0403.4578
788,0403.4625
789,0403.4639
790,0403.4653
791,0403.4763
792,0403.4787
793,0403.4909
794,0403.502
795,0403.503
796,0403.504
797,0403.506
798,0403.5092
799,0403.512
800,0403.515
801,0403.52
802,0403.534
803,0403.536
804,0403.541
805,0403.558
806,0403.567
807,0403.568
808,0403.575
809,0403.582
810,0403.583
811,0403.596
812,0403.598
813,0403.60
814,0403.605
815,0403.606
816,0403.607
817,0403.62
818,0403.620
819,0403.621
820,0403.628
821,0403.63
822,0403.632
823,0403.633
824,0403.64
825,0403.65
