,head,modality,L^1_{1}_std,L^1_{2}_std,R^2_{1}_std,R^2_{2}_std,DTW_std
0,Single Frame,bf,0.08225588,0.056479257,1.8770766463962991,0.36986167267379916,1.1469604112652971
0,Causal CNN,bf,0.11324724,0.059218887,2.626890609844125,0.38808032630049977,1.3017805643312534
0,LSTM,bf,0.10086553,0.04517234,3.211038545339489,0.3435689867206726,1.6779433842271214
0,Causal Transformer,bf,0.103747115,0.048595805,2.859050588348205,0.3512834410988059,1.5621796296658812
0,Mamba,bf,0.089567915,0.04472977,3.622459267657757,0.4005305208660286,1.9176659844547632
0,Transformer,bf,0.056377348,0.04762817,0.8229265061364928,0.24778768368639711,0.9847371820322475
0,Single Frame,h2b,0.04982296,0.04802218,0.8420815268725166,0.21822506420947646,0.8195535735774349
0,Causal CNN,h2b,0.042196445,0.040408216,0.684086923583033,0.18765557009700098,0.839578523671244
0,LSTM,h2b,0.050705075,0.04025636,0.7408467995098252,0.18037399847904234,0.8383470699108432
0,Causal Transformer,h2b,0.033676773,0.037299998,0.3809620604433011,0.15925207024073548,0.8715773959069277
0,Mamba,h2b,0.077755496,0.04275095,1.19034827554903,0.21083736700230535,0.9026449304496083
0,Transformer,h2b,0.02906686,0.030551665,0.2062910951491653,0.12140917720801021,1.2013838957293654
