,head,modality,L^1_{1},L^1_{2},R^2_{1},R^2_{2},DTW
0,Single Frame,bf,0.1932124972804257,0.1462111883197671,0.3468630966756087,0.5712353646228263,3.735201265120306
0,Causal CNN,bf,0.15695500305122803,0.1223960423910495,0.5351302490130184,0.6800103115354099,2.467991632144438
0,LSTM,bf,0.10777054158337873,0.0870115101507442,0.6863607754355001,0.8107800648305715,1.5273193941523866
0,Causal Transformer,bf,0.12141592347067624,0.09382479774242761,0.6485160281303014,0.7914821637797244,1.7282833172462646
0,Mamba,bf,0.11193873129251417,0.09109748063114623,0.6727737833040839,0.8057565061217145,1.4436680131930912
0,Transformer,bf,0.06607515054116812,0.06231972646620905,0.8798396699796249,0.9045084280254936,1.2851373743695875
0,Single Frame,h2b,0.18265063519033448,0.13013144326508755,0.3316517442154548,0.649758925668665,2.594783204196381
0,Causal CNN,h2b,0.15409276343672842,0.11770011193299826,0.47278559208050525,0.6990392750821814,2.1648949257170775
0,LSTM,h2b,0.07928590357973485,0.07542551824152938,0.8147421580326406,0.8506123229425601,1.4667621126233799
0,Causal Transformer,h2b,0.07899349944502213,0.0792070324056383,0.8320569345160991,0.8459349129031042,1.551518561195199
0,Mamba,h2b,0.07447118040145695,0.07527030802163241,0.8455406861401119,0.8609832775610667,1.425971235720798
0,Transformer,h2b,0.056250520812775304,0.05447483690363342,0.8997767283145393,0.9243114874330338,1.1550854248768891
